77,Witness for the Prosecution,1957,8.4
72,Aliens,1986,8.4
96,Toy Story,1995,8.3
19,One Flew Over the Cuckoo's Nest,1975,8.7
22,Interstellar,2014,8.6
20,Seven Samurai,1954,8.7
44,The Lion King,1994,8.5
53,Psycho,1960,8.5
63,3 Idiots,2009,8.4
35,Whiplash,2014,8.5
80,Green Book,2018,8.3
61,Django Unchained,2012,8.4
57,Modern Times,1936,8.5
10,Inception,2010,8.8
42,The Green Mile,1999,8.5
6,Pulp Fiction,1994,8.9
60,Coco (I),2017,8.4
76,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
45,Terminator 2: Judgment Day,1991,8.5
74,Das Boot,1981,8.4
79,Sunset Boulevard,1950,8.4
17,The Matrix,1999,8.7
97,Reservoir Dogs,1992,8.3
58,City Lights,1931,8.5
91,Requiem for a Dream,2000,8.3
30,The Silence of the Lambs,1991,8.6
21,Andhadhun,2018,8.6
75,The Shining,1980,8.4
31,Star Wars: Episode IV - A New Hope,1977,8.6
55,Casablanca,1942,8.5
41,Gladiator,2000,8.5
90,Snatch,2000,8.3
7,Schindler's List,1993,8.9
56,The Great Dictator,1940,8.5
4,The Godfather: Part II,1974,9
18,Goodfellas,1990,8.7
64,Like Stars on Earth,2007,8.4
52,Once Upon a Time in the West,1968,8.5
65,WALL-E,2008,8.4
94,Children of Heaven,1997,8.3
83,A Separation,2011,8.3
100,Scarface,1983,8.3
99,Amadeus,1984,8.3
3,The Dark Knight,2008,9
95,The Bandit,1996,8.3
12,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
81,Drishyam,2015,8.3
86,Batman Begins,2005,8.3
32,It's a Wonderful Life,1946,8.6
28,Se7en,1995,8.6
11,Fight Club,1999,8.8
88,Eternal Sunshine of the Spotless Mind,2004,8.3
38,The Departed,2006,8.5
43,American History X,1998,8.5
8,The Good the Bad and the Ugly,1966,8.9
70,Princess Mononoke,1997,8.4
5,The Lord of the Rings: The Return of the King,2003,8.9
33,Dangal,2016,8.5
82,The Hunt,2012,8.3
46,Cinema Paradiso,1988,8.5
40,Memento,2000,8.5
25,Saving Private Ryan,1998,8.6
67,The Lives of Others,2006,8.4
59,Your Name.,2016,8.4
84,Up,2009,8.3
2,The Godfather,1972,9.2
78,Paths of Glory,1957,8.4
50,Apocalypse Now,1979,8.5
92,L.A. Confidential,1997,8.3
36,The Intouchables,2011,8.5
1,The Shawshank Redemption,1994,9.3
29,Leon: The Professional,1994,8.6
62,The Dark Knight Rises,2012,8.4
89,Amelie,2001,8.3
15,Spider-Man: Into the Spider-Verse,2018,8.7
54,Rear Window,1954,8.5
47,Grave of the Fireflies,1988,8.5
85,Toy Story 3,2010,8.3
87,Inglourious Basterds,2009,8.3
37,The Prestige,2006,8.5
49,Raiders of the Lost Ark,1981,8.5
51,Alien,1979,8.5
9,12 Angry Men,1957,8.9
26,Life Is Beautiful,1997,8.6
39,The Pianist,2002,8.5
48,Back to the Future,1985,8.5
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.8
13,Forrest Gump,1994,8.8
16,The Lord of the Rings: The Two Towers,2002,8.7
68,Oldboy,2003,8.4
66,My Father and My Son,2005,8.4
98,Full Metal Jacket,1987,8.3
69,American Beauty,1999,8.4
73,Once Upon a Time in America,1984,8.4
93,Good Will Hunting,1997,8.3
71,Braveheart,1995,8.4
34,Avengers: Infinity War,2018,8.5
27,The Usual Suspects,1995,8.6
23,City of God,2002,8.6
24,Spirited Away,2001,8.6
